brand,model,year,mileage_km,fuel_type,transmission,engine_cc,seats,owner_count,price,car_age
Honda,Amaze,2019,76988.0,Diesel,Manual,2126.0,5,3,787788.96,5
Mahindra,Thar,2022,18178.0,Petrol,Manual,2477.0,5,3,952235.75,2
Mahindra,Thar,2024,147115.0,Petrol,Manual,2480.0,5,4,667212.88,0
BMW,5 Series,2018,152366.0,Petrol,Automatic,1736.0,5,4,775637.93,6
Toyota,Yaris,2023,133938.0,CNG,Manual,2530.0,5,2,606807.6,1
Tata,Harrier,2024,111322.0,Electric,Automatic,1798.0,7,2,730601.5,0
Mercedes,E Class,2023,72938.0,Electric,Automatic,1991.0,4,3,1235186.37,1
KIA,Carnival,2018,97991.0,CNG,Automatic,1923.0,7,2,871305.43,6
Maruti,Vitara,2016,94162.0,Electric,Manual,2597.0,5,2,1063414.29,8
Mahindra,Thar,2024,30423.0,Petrol,Automatic,2153.0,4,1,998047.59,0
Mahindra,XUV700,2015,15460.0,Electric,Automatic,1104.0,5,2,1215227.89,9
Honda,Amaze,2017,46183.0,Electric,Manual,1022.0,4,3,802157.83,7
BMW,3 Series,2013,82216.0,Petrol,Automatic,1596.0,5,4,1014554.67,11
Mercedes,GLC,2022,29527.0,Diesel,Manual,1776.0,5,4,966479.52,2
Mercedes,GLA,2020,19914.0,Electric,Automatic,2036.0,5,2,1357875.14,4
Toyota,Corolla,2014,153466.0,Diesel,Manual,1718.0,5,1,860229.65,10
Hyundai,Elantra,2015,67999.0,Electric,Automatic,1774.0,4,1,1293706.63,9
Honda,Amaze,2019,105493.0,Electric,Manual,2466.0,5,2,950408.22,5
Mahindra,Scorpio,2019,94705.0,Diesel,Manual,1469.0,5,3,978792.12,5
Maruti,Baleno,2022,132535.0,Petrol,Manual,1738.0,4,4,544713.2,2
Tata,Nexon,2016,133374.0,Diesel,Manual,1847.0,5,4,907631.84,8
Mahindra,Bolero,2024,53849.0,Petrol,Manual,1696.0,5,1,824666.14,0
BMW,3 Series,2018,152745.0,Diesel,Manual,2545.0,5,3,806052.43,6
Tata,Nexon,2022,67328.0,Electric,Manual,1736.0,5,2,597329.84,2
Mercedes,GLA,2015,150468.0,Diesel,Automatic,1736.0,5,1,1250409.82,9
BMW,X1,2013,73350.0,Petrol,Automatic,1665.0,5,3,1183295.28,11
Tata,Altroz,2013,20690.0,Diesel,Automatic,1901.0,5,1,1107242.13,11
BMW,X5,2017,136994.0,CNG,Automatic,1207.0,5,2,970207.84,7
Toyota,Yaris,2024,6204.0,Petrol,Manual,1624.0,5,3,882045.1,0
Mercedes,C Class,2013,139205.0,Petrol,Manual,1268.0,5,2,1101122.47,11
Mahindra,Thar,2017,8534.0,Electric,Manual,1144.0,5,3,916253.85,7
Honda,Amaze,2014,37860.0,Petrol,Manual,1061.0,5,2,923324.59,10
Mercedes,GLA,2024,108922.0,Diesel,Manual,1898.0,5,4,733703.48,0
Honda,City,2021,169523.0,Petrol,Automatic,900.0,5,1,512727.16,3
Maruti,Brezza,2022,73999.0,Petrol,Automatic,1998.0,5,1,950121.25,2
Mercedes,GLA,2021,22421.0,Diesel,Automatic,1634.0,5,3,1061176.51,3
BMW,X1,2020,42537.0,CNG,Manual,1523.0,5,2,977765.21,4
Ford,EcoSport,2022,161385.0,Petrol,Automatic,2207.0,5,3,901271.47,2
Hyundai,Verna,2013,131031.0,Petrol,Manual,1815.0,5,1,902177.27,11
Maruti,Vitara,2023,18790.0,Petrol,Manual,2146.0,7,3,756304.23,1
Tata,Altroz,2021,69773.0,CNG,Manual,2106.0,5,4,636918.38,3
Mercedes,C Class,2021,84100.0,Electric,Automatic,1736.0,7,1,1210553.26,3
Honda,Jazz,2017,32667.0,Petrol,Manual,1266.0,5,2,862825.23,7
KIA,EV6,2022,152488.0,Diesel,Manual,1868.0,4,4,604475.06,2
Maruti,Swift,2017,111493.0,Diesel,Manual,2558.0,5,3,883149.63,7
Mahindra,Thar,2013,32964.0,Diesel,Manual,1162.0,5,1,1138652.34,11
Toyota,Fortuner,2023,117404.0,Petrol,Manual,1079.0,5,1,493992.26,1
BMW,X1,2015,74911.0,Electric,Manual,2499.0,5,4,891319.94,9
Mahindra,XUV700,2014,11816.0,CNG,Manual,2543.0,5,4,1125707.43,10
KIA,EV6,2020,81414.0,Diesel,Manual,1184.0,7,2,893748.35,4
Mercedes,GLC,2015,33993.0,Diesel,Manual,1582.0,4,2,1056224.97,9
KIA,EV6,2023,44750.0,Diesel,Manual,1965.0,5,4,827188.13,1
KIA,EV6,2018,158316.0,Electric,Automatic,1231.0,5,1,923927.5,6
BMW,X5,2013,128075.0,CNG,Manual,1454.0,4,1,980651.0,11
KIA,Seltos,2024,24829.0,Diesel,Automatic,1571.0,5,4,796469.09,0
Ford,Figo,2019,153359.0,Petrol,Automatic,1990.0,5,1,739718.38,5
Ford,Aspire,2016,103715.0,Electric,Manual,1423.0,4,4,847144.02,8
Maruti,Brezza,2021,157523.0,Electric,Manual,1600.0,5,2,656473.49,3
Maruti,Swift,2019,134675.0,Petrol,Manual,1392.0,5,4,632612.33,5
Honda,City,2013,61606.0,Electric,Manual,2191.0,5,1,988958.53,11
KIA,Carnival,2022,96648.0,CNG,Manual,1160.0,4,4,649975.18,2
Honda,Amaze,2017,95928.0,Petrol,Manual,1292.0,7,1,934632.13,7
KIA,Seltos,2021,129813.0,Electric,Manual,1324.0,5,1,888970.27,3
Toyota,Innova,2023,45314.0,Petrol,Manual,2439.0,5,3,825099.86,1
Mahindra,Scorpio,2020,60489.0,Petrol,Automatic,2505.0,5,3,974265.28,4
Mahindra,Bolero,2021,44667.0,Petrol,Manual,1750.0,5,4,761712.8,3
Mahindra,Scorpio,2016,53868.0,Diesel,Automatic,1165.0,5,1,1086632.73,8
Maruti,Brezza,2015,29696.0,CNG,Manual,2185.0,5,1,1029095.73,9
Mercedes,E Class,2017,7349.0,Diesel,Automatic,1736.0,5,3,1179539.23,7
Mahindra,XUV700,2023,169251.0,Petrol,Manual,2344.0,4,4,529185.84,1
Ford,Aspire,2019,14117.0,Petrol,Automatic,1511.0,7,2,960392.16,5
Mahindra,Bolero,2017,159927.0,Electric,Automatic,2598.0,5,4,926097.93,7
Hyundai,Verna,2022,1351.0,Electric,Manual,2271.0,5,4,971856.94,2
Mercedes,GLC,2023,140102.0,Electric,Automatic,1280.0,5,4,876893.7,1
Hyundai,Elantra,2023,59650.0,Petrol,Manual,2133.0,7,3,877000.94,1
Hyundai,Elantra,2016,93564.0,Electric,Manual,1387.0,4,3,1013878.29,8
Toyota,Corolla,2021,51373.0,CNG,Automatic,1494.0,4,3,918818.95,3
Honda,Civic,2020,88716.0,CNG,Automatic,1325.0,7,3,821813.49,4
Ford,EcoSport,2018,81719.0,Petrol,Manual,2059.0,7,3,732069.28,6
Honda,Amaze,2017,95730.0,Electric,Automatic,1346.0,5,3,848397.9,7
Mercedes,C Class,2014,71276.0,Electric,Automatic,1985.0,5,2,1171058.77,10
Maruti,Vitara,2016,96952.0,Petrol,Automatic,1890.0,5,3,804830.62,8
Maruti,Vitara,2019,148722.0,Petrol,Manual,1736.0,5,4,496530.99,5
Mercedes,C Class,2023,78673.0,Diesel,Automatic,2588.0,5,4,925976.34,1
KIA,EV6,2023,65558.0,Petrol,Manual,914.0,5,3,709559.44,1
Hyundai,Creta,2015,24410.0,Diesel,Automatic,2583.0,5,1,1181660.7,9
Toyota,Corolla,2021,65261.0,Diesel,Automatic,1085.0,5,3,819784.15,3
Mahindra,Scorpio,2014,23318.0,Electric,Automatic,1795.0,4,2,1339813.18,10
Hyundai,Venue,2021,33504.0,Petrol,Automatic,1479.0,4,1,1044969.22,3
Maruti,Brezza,2017,171443.0,CNG,Automatic,1986.0,5,1,916095.42,7
Hyundai,Verna,2018,16823.0,Electric,Manual,2126.0,5,3,1091994.34,6
Hyundai,Venue,2021,87179.0,Electric,Manual,2361.0,5,4,847826.88,3
Toyota,Yaris,2018,150306.0,Electric,Automatic,1583.0,4,3,826886.16,6
Hyundai,Elantra,2022,171614.0,Petrol,Manual,2485.0,7,2,723854.08,2
Mahindra,Scorpio,2019,27091.0,Electric,Automatic,1448.0,5,1,1192049.06,5
BMW,X1,2024,30112.0,Electric,Manual,1246.0,5,3,1153232.42,0
Maruti,Brezza,2020,67569.0,Diesel,Automatic,1544.0,4,1,831216.96,4
Toyota,Fortuner,2016,100151.0,Diesel,Manual,1798.0,5,4,876932.35,8
BMW,X1,2022,172797.0,CNG,Manual,2035.0,5,4,617587.95,2
Mercedes,GLC,2017,38022.0,Diesel,Manual,2315.0,5,4,910486.6,7
Tata,Safari,2019,30259.0,Diesel,Manual,1282.0,5,2,932406.69,5
Ford,Endeavour,2014,46170.0,Electric,Manual,1415.0,4,1,1180805.12,10
Ford,Aspire,2014,157478.0,Electric,Manual,2495.0,5,2,813618.72,10
Mercedes,E Class,2019,6185.0,Diesel,Automatic,1647.0,5,4,1115647.95,5
Tata,Safari,2015,68919.0,Electric,Automatic,1310.0,5,1,876713.92,9
KIA,Sonet,2024,22116.0,Diesel,Automatic,2575.0,5,4,865523.62,0
Toyota,Corolla,2023,28947.0,Electric,Automatic,1663.0,5,1,1123683.06,1
Ford,Figo,2021,165099.0,CNG,Automatic,2574.0,5,1,673414.31,3
KIA,Sonet,2021,1097.0,Diesel,Manual,2462.0,5,1,1069643.13,3
Toyota,Innova,2020,58418.0,Petrol,Manual,2440.0,5,4,828699.03,4
KIA,EV6,2013,164844.0,CNG,Automatic,1889.0,5,3,765158.68,11
Ford,EcoSport,2017,109776.0,Diesel,Manual,2257.0,5,2,817164.25,7
Tata,Nexon,2018,13658.0,Petrol,Manual,2532.0,5,3,981214.94,6
Ford,Endeavour,2023,84130.0,Petrol,Automatic,1357.0,5,3,658645.0,1
Mercedes,GLA,2015,174793.0,Electric,Manual,1736.0,7,3,770909.73,9
Maruti,Baleno,2018,72560.0,Petrol,Automatic,1445.0,5,3,842734.2,6
Honda,Amaze,2017,95530.0,Electric,Automatic,1982.0,7,1,1122302.88,7
Hyundai,Venue,2014,96113.0,Electric,Automatic,1830.0,5,2,1216081.03,10
Hyundai,Creta,2014,119152.0,Petrol,Automatic,1036.0,4,3,844650.85,10
Mahindra,Bolero,2017,34353.0,CNG,Automatic,1853.0,5,1,1127443.53,7
Tata,Nexon,2013,151271.0,CNG,Manual,1196.0,5,2,572919.39,11
Maruti,Brezza,2013,177957.0,Diesel,Automatic,1759.0,7,1,1010781.24,11
Mercedes,GLC,2017,26345.0,Electric,Manual,1878.0,5,4,841829.61,7
Mercedes,GLC,2015,147440.0,Diesel,Manual,1982.0,4,1,1097181.09,9
Mercedes,E Class,2019,147190.0,Diesel,Manual,1601.0,5,1,826029.25,5
KIA,EV6,2013,133697.0,Diesel,Manual,1594.0,4,3,1058207.58,11
BMW,X1,2016,67261.0,Electric,Automatic,2053.0,5,1,1291064.07,8
Honda,Civic,2018,84801.0,CNG,Manual,2173.0,5,2,685431.71,6
BMW,3 Series,2024,151186.0,Diesel,Automatic,2273.0,5,2,822878.74,0
Toyota,Fortuner,2020,28195.0,Electric,Automatic,1467.0,5,1,1144240.31,4
Honda,Amaze,2023,149311.0,Electric,Automatic,1620.0,5,4,800078.2,1
Toyota,Yaris,2017,165783.0,Electric,Automatic,1462.0,5,3,803636.2,7
Mahindra,Scorpio,2018,122990.0,CNG,Manual,1796.0,5,1,786417.25,6
Mahindra,Bolero,2018,61976.0,Diesel,Manual,1116.0,5,3,958074.97,6
Maruti,Vitara,2023,100999.0,Electric,Automatic,1631.0,5,3,789768.66,1
Mercedes,GLC,2024,84100.0,Diesel,Automatic,1220.0,4,3,915082.36,0
Mahindra,XUV700,2024,167779.0,Diesel,Automatic,1736.0,5,3,636105.14,0
Honda,City,2022,62158.0,Diesel,Manual,2345.0,5,4,811251.39,2
Tata,Harrier,2019,11032.0,Electric,Manual,2575.0,5,2,1128160.82,5
Hyundai,Elantra,2019,143166.0,CNG,Manual,1658.0,5,2,830929.62,5
Tata,Safari,2024,118634.0,Diesel,Manual,995.0,5,3,633341.45,0
Honda,Amaze,2016,112389.0,Diesel,Manual,1287.0,5,4,775340.97,8
Mercedes,C Class,2017,10494.0,Diesel,Automatic,1078.0,5,3,1215794.05,7
Maruti,Swift,2023,84100.0,CNG,Manual,2190.0,5,1,521812.42,1
Mercedes,E Class,2017,115007.0,Diesel,Automatic,2573.0,5,2,1063711.61,7
Mercedes,GLA,2015,143019.0,Electric,Automatic,1841.0,4,3,808649.04,9
Honda,City,2019,149057.0,Diesel,Automatic,1200.0,5,1,697310.57,5
BMW,X1,2016,84100.0,Diesel,Manual,935.0,5,4,1022636.81,8
Ford,Aspire,2023,38546.0,Electric,Manual,2559.0,5,4,893058.4,1
BMW,3 Series,2023,166341.0,Diesel,Automatic,1437.0,5,4,806509.92,1
Maruti,Swift,2016,95959.0,Petrol,Manual,1090.0,7,1,842373.86,8
Maruti,Baleno,2019,79287.0,Diesel,Automatic,1200.0,5,3,837121.38,5
Maruti,Brezza,2024,52266.0,CNG,Automatic,1333.0,5,3,726331.7,0
BMW,X5,2021,115311.0,Petrol,Manual,2014.0,5,3,825368.72,3
Tata,Harrier,2015,135909.0,Diesel,Automatic,2416.0,5,4,854404.03,9
Toyota,Fortuner,2020,1213.0,Petrol,Manual,1367.0,4,2,856648.6,4
BMW,X5,2020,99832.0,CNG,Manual,2068.0,5,3,836315.93,4
Honda,Civic,2020,178811.0,CNG,Automatic,1010.0,4,3,612847.79,4
BMW,5 Series,2013,51090.0,Electric,Automatic,917.0,4,4,1093201.67,11
Tata,Harrier,2016,51136.0,Diesel,Manual,993.0,5,4,798235.09,8
BMW,3 Series,2023,158160.0,Electric,Automatic,2469.0,7,2,879982.77,1
Tata,Harrier,2015,11921.0,Electric,Automatic,1888.0,5,4,933996.6,9
Mercedes,GLA,2016,72035.0,Electric,Automatic,2268.0,5,1,1139833.36,8
Maruti,Vitara,2016,82920.0,CNG,Manual,936.0,5,2,812143.74,8
Mercedes,GLA,2015,143779.0,Electric,Manual,937.0,5,3,1002644.47,9
Ford,Endeavour,2014,23922.0,Electric,Automatic,2342.0,5,1,1286119.45,10
Mahindra,Bolero,2017,78583.0,CNG,Automatic,1074.0,5,2,1063118.24,7
Tata,Nexon,2023,28096.0,Diesel,Automatic,1736.0,5,3,816415.09,1
Ford,Figo,2013,141944.0,CNG,Manual,1782.0,5,3,980369.42,11
Mahindra,Thar,2016,114105.0,Electric,Manual,1931.0,5,1,976338.35,8
Ford,EcoSport,2013,89815.0,Electric,Automatic,1289.0,7,2,1067195.4,11
Mahindra,Thar,2019,71212.0,Electric,Manual,1655.0,4,1,969043.39,5
Mahindra,Bolero,2016,28248.0,Electric,Manual,2047.0,5,3,1041247.9,8
Mercedes,E Class,2022,165995.0,CNG,Manual,1652.0,5,2,815274.34,2
Mahindra,Thar,2020,116860.0,Petrol,Automatic,1550.0,5,3,818649.52,4
Ford,Endeavour,2022,57992.0,CNG,Manual,1022.0,5,3,814729.19,2
Toyota,Innova,2020,74977.0,Electric,Manual,1668.0,5,4,837304.84,4
Toyota,Innova,2018,130931.0,Petrol,Manual,2264.0,5,1,833187.88,6
Mercedes,GLA,2023,129745.0,CNG,Automatic,1965.0,5,4,652724.21,1
Tata,Safari,2018,83429.0,Electric,Manual,2418.0,7,1,970482.72,6
Honda,City,2024,55079.0,Electric,Automatic,1114.0,4,1,922065.35,0
Mercedes,GLA,2024,119063.0,Diesel,Manual,918.0,4,1,753435.02,0
Mahindra,Scorpio,2020,118755.0,Petrol,Automatic,1831.0,5,1,841063.3,4
Ford,Aspire,2021,108265.0,Electric,Automatic,1203.0,4,4,1032746.7,3
Mahindra,Bolero,2016,13855.0,Electric,Automatic,1909.0,5,1,1232343.05,8
BMW,3 Series,2022,85522.0,CNG,Automatic,2436.0,7,3,761911.71,2
KIA,Carnival,2021,110814.0,Electric,Automatic,1473.0,5,2,869709.87,3
Hyundai,Elantra,2023,171050.0,Petrol,Manual,1834.0,5,1,678338.89,1
Hyundai,Elantra,2016,94980.0,CNG,Automatic,2058.0,5,2,977426.03,8
Honda,City,2022,62214.0,Petrol,Automatic,1155.0,5,1,929471.49,2
Mercedes,C Class,2018,100398.0,Electric,Automatic,2425.0,5,2,1188553.91,6
KIA,Seltos,2015,32560.0,CNG,Manual,1244.0,5,3,840774.57,9
Toyota,Fortuner,2015,17052.0,Electric,Automatic,2274.0,5,3,1189016.04,9
Mahindra,Scorpio,2019,122314.0,CNG,Manual,2021.0,4,2,664144.45,5
Mercedes,GLC,2016,177524.0,Petrol,Automatic,1139.0,5,4,748333.93,8
Mahindra,Thar,2014,152404.0,Petrol,Automatic,2132.0,5,3,822338.99,10
Maruti,Vitara,2018,105392.0,Diesel,Manual,1234.0,5,2,636209.4,6
Mercedes,C Class,2020,8013.0,CNG,Automatic,1919.0,5,2,1170900.45,4
BMW,3 Series,2016,177844.0,Petrol,Automatic,2531.0,5,1,1047060.85,8
Maruti,Vitara,2024,81374.0,Electric,Manual,2520.0,4,4,817026.68,0
Honda,Civic,2022,52707.0,Petrol,Manual,2381.0,5,4,782620.58,2
Hyundai,Verna,2019,160733.0,Diesel,Manual,1739.0,4,2,833238.29,5
Toyota,Yaris,2024,134555.0,Petrol,Automatic,1851.0,5,3,523089.95,0
Maruti,Swift,2018,135131.0,Diesel,Automatic,1410.0,5,3,821992.08,6
Maruti,Swift,2014,84100.0,Diesel,Automatic,1736.0,5,3,1042484.38,10
Toyota,Innova,2013,178531.0,Petrol,Automatic,1711.0,4,1,919189.06,11
Mahindra,Scorpio,2024,81953.0,CNG,Automatic,2211.0,5,4,780291.7,0
Mercedes,C Class,2024,96029.0,Electric,Manual,1511.0,5,4,738417.84,0
Mahindra,Thar,2021,135371.0,Electric,Manual,2158.0,4,4,641198.62,3
Toyota,Corolla,2014,119071.0,Diesel,Manual,1281.0,4,4,709042.33,10
Honda,Jazz,2016,31673.0,Electric,Manual,2147.0,4,4,1042916.16,8
Mercedes,GLC,2013,55004.0,Electric,Automatic,978.0,5,3,1246891.03,11
Honda,Jazz,2013,65524.0,Electric,Manual,1078.0,5,1,908232.0,11
BMW,3 Series,2015,170598.0,Diesel,Manual,1498.0,5,2,786014.66,9
Maruti,Baleno,2019,128839.0,Electric,Manual,1719.0,5,1,729543.59,5
Honda,Jazz,2013,66447.0,CNG,Manual,2109.0,5,1,899232.94,11
Maruti,Swift,2024,132462.0,Petrol,Manual,1510.0,5,4,379033.83,0
Honda,City,2018,133141.0,Diesel,Manual,931.0,5,4,528566.54,6
Honda,Amaze,2016,71444.0,CNG,Automatic,1453.0,7,3,768350.62,8
Hyundai,Elantra,2019,84100.0,Petrol,Manual,1646.0,5,3,858817.25,5
Mahindra,Thar,2022,161057.0,Diesel,Manual,1824.0,5,1,642163.91,2
Honda,Jazz,2016,84100.0,Electric,Manual,1994.0,4,1,952589.08,8
Ford,EcoSport,2013,27593.0,Petrol,Automatic,1321.0,5,4,1103257.35,11
Tata,Safari,2013,129785.0,Diesel,Automatic,1937.0,5,2,790761.82,11
Tata,Safari,2023,106450.0,Petrol,Automatic,1973.0,5,3,688324.88,1
Hyundai,Verna,2014,92000.0,CNG,Automatic,2220.0,5,2,1070728.11,10
Mercedes,GLC,2020,130738.0,Petrol,Automatic,1787.0,5,1,919312.44,4
BMW,X5,2017,163349.0,Electric,Automatic,2277.0,5,4,902576.53,7
Maruti,Baleno,2022,60014.0,Petrol,Manual,1736.0,5,4,759869.42,2
Hyundai,Creta,2013,75938.0,Electric,Automatic,2109.0,5,3,1111748.41,11
Ford,Figo,2023,34757.0,Electric,Manual,977.0,5,2,965576.95,1
Toyota,Innova,2021,116755.0,Electric,Manual,1074.0,5,3,763517.89,3
Honda,City,2018,72966.0,Electric,Automatic,2370.0,5,4,943155.18,6
Tata,Nexon,2015,62151.0,Petrol,Manual,1707.0,5,3,879185.35,9
Mercedes,GLA,2024,125616.0,Electric,Manual,1955.0,5,2,897256.66,0
Mercedes,GLA,2016,73941.0,CNG,Automatic,1925.0,4,2,1120660.65,8
Mercedes,GLA,2018,84014.0,Electric,Manual,2081.0,5,3,973878.7,6
Mahindra,Bolero,2017,79656.0,Electric,Manual,1317.0,5,2,975762.75,7
Toyota,Corolla,2015,47130.0,CNG,Automatic,1203.0,4,3,884794.59,9
Toyota,Corolla,2017,23344.0,Diesel,Automatic,972.0,5,1,1122814.13,7
Ford,EcoSport,2014,149040.0,Petrol,Manual,2370.0,5,1,761811.87,10
Mercedes,GLC,2013,17236.0,Petrol,Automatic,1280.0,5,4,1245903.13,11
Maruti,Baleno,2016,59018.0,Diesel,Automatic,1877.0,5,2,1019972.19,8
Mercedes,C Class,2014,120414.0,Electric,Manual,1673.0,4,2,923746.54,10
Mercedes,GLC,2017,24328.0,CNG,Manual,1176.0,4,3,1052633.25,7
Tata,Altroz,2023,118268.0,Diesel,Manual,1603.0,5,2,851350.98,1
Honda,City,2014,132165.0,Petrol,Manual,1041.0,7,4,796523.06,10
Hyundai,Creta,2013,119593.0,CNG,Manual,1200.0,4,1,974161.23,11
Hyundai,Creta,2014,55461.0,CNG,Manual,1137.0,5,4,842388.62,10
Mercedes,E Class,2019,4342.0,Electric,Manual,2301.0,4,1,1081203.96,5
KIA,Seltos,2016,159813.0,CNG,Manual,1864.0,5,2,554885.76,8
Ford,Aspire,2018,59317.0,CNG,Manual,2473.0,5,3,827201.78,6
Tata,Altroz,2013,145057.0,Electric,Manual,1641.0,5,4,710874.31,11
BMW,X5,2016,36247.0,Diesel,Manual,1242.0,4,1,1036753.53,8
Hyundai,Verna,2017,29903.0,Electric,Manual,1934.0,5,3,1054897.4,7
Hyundai,Verna,2018,140244.0,Diesel,Automatic,2480.0,7,1,1029363.48,6
KIA,Carnival,2019,169199.0,Petrol,Manual,1805.0,5,1,625968.62,5
Mercedes,C Class,2022,155024.0,Diesel,Automatic,930.0,5,4,714707.81,2
Ford,EcoSport,2018,135423.0,Petrol,Automatic,1416.0,4,3,900006.96,6
Toyota,Corolla,2023,45005.0,Petrol,Automatic,2472.0,5,2,833175.05,1
BMW,3 Series,2019,164447.0,Electric,Automatic,1781.0,5,3,1002228.91,5
KIA,Seltos,2016,120478.0,Electric,Manual,2518.0,5,2,939003.83,8
Toyota,Innova,2015,31651.0,Petrol,Automatic,1765.0,5,2,1108224.64,9
KIA,EV6,2016,23981.0,Electric,Manual,920.0,5,2,1167193.68,8
Hyundai,Venue,2020,156912.0,Petrol,Manual,2384.0,5,2,824393.76,4
Honda,Amaze,2015,50107.0,Diesel,Manual,2197.0,5,4,1011466.76,9
BMW,5 Series,2023,138047.0,CNG,Manual,2115.0,5,2,614196.98,1
Hyundai,Creta,2018,25646.0,Diesel,Manual,2549.0,5,2,1169261.57,6
BMW,5 Series,2023,51072.0,CNG,Manual,1233.0,5,3,714143.02,1
Honda,City,2021,51606.0,Electric,Automatic,2440.0,7,4,985667.96,3
Maruti,Vitara,2017,51173.0,Petrol,Automatic,1295.0,5,2,935355.76,7
Maruti,Swift,2015,121712.0,Petrol,Manual,2550.0,7,4,783829.43,9
Honda,Civic,2021,164658.0,Electric,Automatic,1225.0,5,2,792316.7,3
Ford,Endeavour,2016,163930.0,CNG,Manual,1835.0,5,3,540908.1,8
Ford,Aspire,2015,133685.0,CNG,Manual,2241.0,5,4,555133.93,9
Maruti,Baleno,2024,37092.0,Diesel,Automatic,1032.0,4,2,905505.78,0
Mahindra,Bolero,2018,172935.0,Diesel,Automatic,1013.0,5,1,851157.11,6
Mahindra,Thar,2013,97940.0,CNG,Manual,2344.0,5,3,981071.92,11
Tata,Harrier,2018,98637.0,CNG,Manual,1002.0,4,1,668537.44,6
Mahindra,Bolero,2018,126489.0,Petrol,Manual,1943.0,7,2,697720.01,6
BMW,X5,2023,138621.0,CNG,Manual,2494.0,4,4,754603.87,1
Honda,Amaze,2021,171563.0,CNG,Manual,1945.0,5,2,520828.25,3
Maruti,Baleno,2015,105162.0,Petrol,Automatic,1717.0,5,3,869923.71,9
Tata,Nexon,2014,110122.0,Diesel,Automatic,1609.0,4,3,814004.05,10
Tata,Nexon,2020,134398.0,Electric,Manual,1984.0,7,1,929190.75,4
Ford,Endeavour,2013,46515.0,CNG,Automatic,1872.0,5,2,920342.17,11
